legbody,ID,title,descr,LGA,SA4CODE_2021_2022,IPCCA_Behavioural_and_Cultural,IPCCA_Knowledge,IPCCA_Infrastructural_and_Technological,IPCCA_Nature_Based,IPCCA_Institutional,Funding,Organisation_University,Organisation_Federal_Government,Organisation_Private_Organisations,Organisation_State_Territory_Gov,Organisation_Civil_Society,Organisation_Regional_Organisation,Organisation_Local_Government,Organisation_Other,Purpose_Governance_Instruments,Purpose_Information_Gathering,Purpose_Research,Purpose_Knowledge_Building,Purpose_Stakeholder_Engagement,Purpose_Coordination,Purpose_Institutional_Change,Purpose_Intervention,Hazard_Fire,Hazard_Drought,Hazard_Temperature_Extremes,Hazard_Changes_Precipitation,Hazard_Coastal_erosion_flooding_change,Hazard_Ocean_warming_acidification,Hazard_Humidity,Hazard_Extreme_wind,Hazard_General_Climate_Change,Hazard_Riverine_Flooding,Climate_Risk_Assessment_Infrastructure_Built_Environment,Climate_Risk_Assessment_Health_Social_Support,Climate_Risk_Assessment_Natural_Environment,Climate_Risk_Assessment_Primary_Industries_Food_System,Climate_Risk_Assessment_Regional_Remote_Communities,Climate_Risk_Assessment_Economy_Trade_Financial_System,Climate_Risk_Assessment_Multi_System,Climate_Risk_Assessment_Defence_National_Security,Start_Year,End_Year,Party_Labor,Party_Liberal,Party_Nationals,Party_Labor_Greens,Party_Liberal_National,Population_Abundance
Australian Capital Territory,8,Caring for Dhawura Ngunnawal: A natural resource plan for the ACT 2022 2042,Aims to protect and manage lowland and subalpine woodlands in the ACT_ Focuses on safeguarding threatened species,Unincorporated ACT,801,0,0,0,0,1,ACT Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2022,2022,0,0,0,1,0,456652
Australian Capital Territory,19,Electrify Canberra,Community movement mobilising neighbours streets and suburbs to switch homes to electric appliances rooftop solar and batteries,Unincorporated ACT,801,0,1,0,0,0,NA,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2022,NA,0,0,0,1,0,456652
Australian Capital Territory,5,Australian Capital Territory Minimum Energy Efficiency Standards for Rentals,A regulation that requires all residential rental properties in the ACT to meet new minimum energy efficiency standard for ceiling insulation,Unincorporated ACT,801,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2023,2026,0,0,0,1,0,471340
Australian Capital Territory,10,Icon Water Climate Change Adaptation Plan v2_0 Sustaining Resilience ,Protection of public health and the environment within the community_ Builds on existing work business capability and processes and identifies focus,Unincorporated ACT,801,0,0,0,0,1,Internal,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,2023,2028,0,0,0,1,0,471340
Australian Capital Territory,13,Planning Act 2023,Better manage future growth urban development and environmental challenges,Unincorporated ACT,801,0,0,0,0,1,ACT Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2023,2023,0,0,0,1,0,471340
Australian Capital Territory,17,Canberra Grassland Earless Dragon reintroduction,Involves reintroducing species into grassland areas where they have declined or disappeared,Unincorporated ACT,801,0,1,0,0,0,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2023,NA,0,0,0,1,0,471340
Australian Capital Territory,3,Australian Capital Territory Community Garden Grants,Aims to fund projects that promote healthier communities demonstrate sustainability best practices and enjoy strong community backing enhancing resilience against extreme weather,Unincorporated ACT,801,0,0,0,0,1,ACT Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2024,2025,1,0,0,0,0,478430
New South Wales,20,Duranbah Beach biannual nourishment to sustain surf break,The beach is nourished twice a year with sand sourced as part of the Tweed Sand Bypass project,Tweed,112,0,0,0,1,0,New South Wales Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,NA,1,0,0,0,0,6311168
New South Wales,25,Tweed Sand Bypass system,Tweed Sand Bypass was installed in 2001 to address multiple issuues,Tweed,112,0,0,0,1,0,New South Wales Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,NA,1,0,0,0,0,6311168
New South Wales,90,Port Botany habitat enhancement,Restoration and revegetation works were undertaken as part of the Port Botany Habitat Enhancement Plan,Bayside,123,0,0,0,1,0,New South Wales Government,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2002,2021,1,0,0,0,0,6640000
New South Wales,13,Barangaroo urban renewal: accommodating climate resilience,Redeveloped with a strong focus on climate adaptation_ Redevelopment process included a detailed analysis of climate risks for the site which heled determine its design,Sydney,117,0,0,1,0,0,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,2003,NA,1,0,0,0,0,6682100
New South Wales,24,Tweed River banks stabilisation project,Rock fillets have been installed over the years at several sites to protect the remaining mangroves,Tweed,112,0,0,0,1,0,New South Wales Government,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2003,NA,1,0,0,0,0,6682100
New South Wales,91,Towra Lagoon dune build up to protect,Aimed to protect the ecologically important Towra Lagoon by building up a protective dune in front of it,Bayside,120,0,0,0,1,0,New South Wales Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2005,2019,1,0,0,0,0,6803000
New South Wales,48,Managing indundation at multiple sites in NSW,Involves managing inundation at multiple sites in NSW_ Management reduces climate change vulnerability by maintaining habitat stability supporting biodiversity and ensuring the health and sustainability,NA,NSW,0,0,0,1,0,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2006,NA,1,0,0,0,0,6927694
New South Wales,86,Sustainable Living Armadale,Raise awareness of climate change and depletion of natural resources,Armidale,110,1,0,0,0,0,Membership funding,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,2007,NA,1,0,0,0,0,6927694
New South Wales,88,Emigrant Creek restoring the riverbank project,Involved the staged rehabilitation of an eroding riverbank reducing wave energy,Ballina,112,0,0,0,1,0,New South Wales Government,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2018,1,0,0,0,0,6927694
New South Wales,94,Statewide Mutual Climate Change Risk Assessment Adaptation Reports   Bega Valley,Project supported councils in developing strategies to safeguard infrastructure,Bega Valley,114,0,0,0,0,1,NA,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2009,2010,1,0,0,0,0,7198372
New South Wales,61,New South Wales National Parks Hazard Reduction Program,Conducts planned hazard reduction activities like mowing and controlled burning to assist in the protection of life property and the community,NA,112,0,0,0,1,0,NSW National Parks and Wildlife Service,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2010,NA,1,0,0,0,0,7230000
New South Wales,98,New Brighton beach scraping: Byron Shire Council,Beach scraping is designed to artifically increase dune volume,Byron,112,0,0,0,1,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2010,2017,1,0,0,0,0,7230000
New South Wales,7,Scotts Point rock fillets and saltmarsh return intervention,Rock fillets were installed at eroding areas to dissipate water movement and allow mangrove re establishment on the banks,Nambucca Valley,108,0,0,0,1,0,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2012,2012,0,1,0,0,0,7290300
New South Wales,11,Canopy Resilience   Green Streets in Sutherland,Focused on replenishin tree canopies across private and public spaces,Sutherland,128,0,0,0,1,0,New South Wales Government,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2013,NA,0,1,0,0,0,7410000
New South Wales,69,Saving Our Species Program,Aimed at conserving threatened species and their habitats in NSW adapting to climate change impacts_ Targeted conservation projects that use the latest technologies survey methods and findings,NA,NSW,0,0,0,1,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2013,NA,0,1,0,0,0,7410000
